Salary,Position,Age,GP,GS,3P,TRB,AST,STL,BLK,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,STL%,BLK%,TOV%,USG%,WS,eficiencia,tier_time
37653300,1,33,64,64,0.6,5.9,5.3,1.55,0.3,1.3,22.9,25.725000000000005,0.647,0.116,0.5935,7.5,10.3,2.7,1.0,8.2,25.6,8.425,35.949999999999996,2
37633050,3,30,74,74,1.7,5.7,2.5,0.9,0.5,2.0,14.7,14.8,0.602,0.383,0.153,3.3,10.3,1.4,1.5,9.0,18.2,5.9,24.299999999999997,2
37281261,2,32,9,1,0.8,1.8,2.1,0.2,0.2,1.2,8.0,15.0,0.543,0.491,0.368,2.4,6.5,0.7,1.2,5.7,22.1,0.3,12.299999999999999,2
37096500,2,24,73,73,2.1,3.0,6.049999999999999,1.1,0.1,1.4,23.099999999999998,22.0,0.573,0.331,0.46,2.4,4.7,1.5,0.3,15.2,31.424999999999997,6.7,33.35,2
37096500,4,27,77,77,2.6,4.5,4.2,0.9,0.2,2.1,23.099999999999998,19.0,0.607,0.392,0.308,1.7,7.1,1.2,0.6,11.0,28.3,7.1,32.9,2
35448672,2,26,42,33,0.0,6.3,6.049999999999999,1.3,0.6,3.3,6.9,13.4,0.559,0.009,0.243,4.2,13.4,2.4,1.9,23.25,14.3,2.2,21.150000000000002,3
35448672,1,28,71,71,1.3,7.8,5.8,0.9,0.5,3.2,23.099999999999998,20.3,0.565,0.219,0.361,5.2,11.9,1.2,1.3,10.0,27.2,7.8,38.099999999999994,3
35096500,0,26,62,62,1.5,7.5,1.4,0.6,1.1,3.5,18.0,20.0,0.651,0.34,0.377,5.4,14.2,0.9,4.824999999999999,10.8,22.0,5.4,28.6,1
34319520,2,32,67,65,2.4,5.1,6.049999999999999,1.2,0.4,1.7,19.3,19.2,0.586,0.402,0.173,3.9,8.1,1.7,0.9,15.2,25.0,6.7,32.050000000000004,3
33833400,1,27,29,29,2.1,8.1,4.8,0.7,0.6,3.7000000000000006,20.8,18.8,0.618,0.383,0.315,5.7,13.8,1.0,1.5,15.0,25.6,2.7,35.00000000000001,2
